Category: All categories

Month,data science: (Worldwide),machine learning: (Worldwide)
2008-01,6,9
2008-02,7,11
2008-03,6,11
2008-04,7,12
2008-05,5,9
2008-06,5,9
2008-07,5,8
2008-08,5,9
2008-09,6,10
2008-10,6,11
2008-11,6,11
2008-12,5,10
2009-01,7,10
2009-02,6,11
2009-03,6,11
2009-04,6,11
2009-05,5,11
2009-06,4,9
2009-07,4,9
2009-08,5,9
2009-09,7,10
2009-10,6,10
2009-11,7,11
2009-12,5,9
2010-01,7,10
2010-02,7,11
2010-03,6,10
2010-04,6,11
2010-05,6,11
2010-06,5,11
2010-07,5,9
2010-08,5,9
2010-09,7,11
2010-10,6,10
2010-11,6,11
2010-12,5,11
2011-01,7,10
2011-02,6,11
2011-03,6,9
2011-04,6,10
2011-05,6,10
2011-06,5,10
2011-07,5,9
2011-08,6,10
2011-09,7,11
2011-10,6,15
2011-11,7,14
2011-12,5,13
2012-01,7,12
2012-02,7,13
2012-03,6,13
2012-04,7,13
2012-05,6,14
2012-06,6,12
2012-07,5,11
2012-08,7,12
2012-09,9,15
2012-10,8,14
2012-11,8,14
2012-12,7,12
2013-01,7,13
2013-02,8,13
2013-03,7,14
2013-04,8,15
2013-05,9,14
2013-06,8,14
2013-07,8,14
2013-08,9,14
2013-09,11,15
2013-10,11,18
2013-11,11,17
2013-12,10,16
2014-01,13,17
2014-02,12,17
2014-03,12,19
2014-04,13,21
2014-05,12,18
2014-06,13,18
2014-07,12,18
2014-08,16,20
2014-09,19,22
2014-10,17,23
2014-11,17,23
2014-12,15,21
2015-01,18,23
2015-02,18,24
2015-03,18,26
2015-04,20,28
2015-05,19,27
2015-06,19,27
2015-07,20,27
2015-08,23,27
2015-09,26,32
2015-10,25,33
2015-11,23,35
2015-12,22,34
2016-01,26,32
2016-02,28,36
2016-03,25,39
2016-04,26,39
2016-05,28,40
2016-06,27,42
2016-07,27,37
2016-08,29,40
2016-09,37,46
2016-10,32,51
2016-11,35,55
2016-12,32,54
2017-01,42,61
2017-02,41,65
2017-03,44,72
2017-04,43,71
2017-05,45,75
2017-06,42,78
2017-07,42,73
2017-08,46,77
2017-09,53,83
2017-10,53,87
2017-11,52,93
2017-12,48,88
2018-01,57,88
2018-02,56,92
2018-03,55,99
2018-04,59,100
2018-05,61,99
2018-06,56,95
2018-07,57,96
