Category: All categories

Country,machine learning: (1/1/08 - 7/14/18)
St. Helena,100
Singapore,83
India,76
South Korea,66
Nepal,52
Hong Kong,51
Botswana,
Israel,41
Ethiopia,
Sri Lanka,36
Pakistan,35
Switzerland,34
China,34
United States,33
Bangladesh,32
Taiwan,32
Ireland,31
Malta,
Canada,28
Rwanda,
Myanmar (Burma),
Kenya,27
Iceland,
Cyprus,
Luxembourg,
Sweden,24
Norway,24
Australia,24
New Zealand,24
Denmark,23
Finland,23
Iran,23
Ghana,
United Kingdom,23
Madagascar,
South Africa,22
Estonia,
Nigeria,21
Lebanon,
Tunisia,21
Uganda,
Mauritius,
Netherlands,20
Cameroon,
Zimbabwe,
Malaysia,18
Greece,18
Portugal,18
Mongolia,
Germany,17
Armenia,
United Arab Emirates,17
Belgium,16
Slovenia,
Austria,15
Qatar,
Macedonia (FYROM),
Egypt,14
Croatia,14
Sudan,
Laos,
Czechia,13
France,13
Philippines,13
Jordan,
Spain,12
Romania,11
Serbia,11
Uruguay,
Albania,
Lithuania,
Italy,10
Morocco,10
Latvia,
Belarus,
Cambodia,
Vietnam,9
Bulgaria,9
Oman,
Russia,9
Costa Rica,
Syria,
Thailand,8
Hungary,8
Chile,8
Slovakia,
Tanzania,
Japan,8
Colombia,8
Peru,8
Algeria,8
Poland,8
Bahrain,
Puerto Rico,
Ukraine,7
Saudi Arabia,7
Kazakhstan,
Bosnia & Herzegovina,
Indonesia,6
Turkey,6
Brazil,6
Paraguay,
Ecuador,
Georgia,
Panama,
Mexico,5
Kuwait,
Azerbaijan,
Argentina,5
Dominican Republic,
Bolivia,
Moldova,
Guatemala,
Iraq,
El Salvador,
Venezuela,
North Korea,
British Indian Ocean Territory,
Cuba,
Caribbean Netherlands,
Marshall Islands,
Eritrea,
Micronesia,
Swaziland,
Åland Islands,
Gambia,
Liechtenstein,
American Samoa,
Macau,
Solomon Islands,
Monaco,
Bermuda,
Lesotho,
Togo,
St. Lucia,
Turks & Caicos Islands,
Papua New Guinea,
Western Sahara,
Belize,
Isle of Man,
San Marino,
St. Vincent & Grenadines,
Faroe Islands,
Dominica,
Jamaica,
Samoa,
Brunei,
Zambia,
Benin,
Bhutan,
St. Martin,
Seychelles,
Senegal,
Chad,
Gibraltar,
Trinidad & Tobago,
Jersey,
Kosovo,
Curaçao,
Somalia,
Aruba,
Namibia,
Antigua & Barbuda,
Malawi,
Maldives,
Bahamas,
Cayman Islands,
U.S. Virgin Islands,
Afghanistan,
Guernsey,
Fiji,
Palestine,
Grenada,
Timor-Leste,
Guam,
Libya,
Haiti,
Guyana,
Sierra Leone,
Barbados,
Congo - Kinshasa,
Greenland,
St. Kitts & Nevis,
Montenegro,
Nicaragua,
Mozambique,
Andorra,
Niger,
French Guiana,
French Polynesia,
Côte d’Ivoire,
Uzbekistan,
Congo - Brazzaville,
Martinique,
Honduras,
Burundi,
Yemen,
Djibouti,
Angola,
Liberia,
Cape Verde,
Réunion,
Turkmenistan,
Burkina Faso,
Mali,
Gabon,
Mauritania,
Kyrgyzstan,
Suriname,
Anguilla,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Falkland Islands (Islas Malvinas),
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
Kiribati,
Northern Mariana Islands,
Montserrat,
Mayotte,
New Caledonia,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Sint Maarten,
Tajikistan,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
